ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment
78491,USR_148,DPT_006,Nurse,OnSite,2024-01-01 17:04:43,read,63,DVC_137,PTN_12011,0,0,DPT_006
50442,USR_148,DPT_010,Nurse,OnSite,2024-01-02 09:09:50,read,60,DVC_096,PTN_03550,0,0,DPT_010
32499,USR_411,DPT_005,Admin,OnSite,2024-01-03 06:26:49,read,210,DVC_159,PTN_18486,0,0,DPT_010
56183,USR_411,DPT_005,Admin,OnSite,2024-01-02 01:57:18,write,134,DVC_105,PTN_04158,1,0,DPT_007
1558,USR_474,DPT_007,Researcher,OnSite,2024-01-02 01:21:40,read,203,DVC_053,PTN_02955,0,1,DPT_002
14936,USR_474,DPT_001,Researcher,OnSite,2024-01-03 01:06:57,read,240,DVC_128,PTN_17765,0,0,DPT_001
78264,USR_466,DPT_003,Researcher,OnSite,2024-01-03 05:26:50,read,91,DVC_015,PTN_18218,0,1,DPT_003
33121,USR_466,DPT_002,Researcher,OnSite,2024-01-03 00:46:22,read,106,DVC_145,PTN_09906,0,0,DPT_002
61125,USR_466,DPT_010,Researcher,OnSite,2024-01-02 21:58:44,write,110,DVC_177,PTN_15764,0,0,DPT_004
86763,USR_466,DPT_006,Researcher,OnSite,2024-01-02 06:15:46,read,89,DVC_067,PTN_16459,0,0,DPT_006
38114,USR_466,DPT_003,Researcher,OnSite,2024-01-01 04:41:12,read,82,DVC_102,PTN_19708,0,0,DPT_003
22622,USR_466,DPT_009,Researcher,OnSite,2024-01-02 02:36:49,read,120,DVC_063,PTN_04852,0,0,DPT_009
44782,USR_466,DPT_002,Researcher,OnSite,2024-01-02 23:06:46,read,86,DVC_047,PTN_19605,0,0,DPT_002
95952,USR_466,DPT_007,Researcher,OnSite,2024-01-02 03:47:02,modify,61,DVC_113,PTN_16222,0,1,DPT_007
45304,USR_466,DPT_002,Researcher,OnSite,2024-01-01 23:21:02,read,94,DVC_014,PTN_06412,0,0,DPT_002
19155,USR_466,DPT_010,Researcher,OnSite,2024-01-02 00:06:56,read,62,DVC_130,PTN_12667,0,0,DPT_010
41401,USR_466,DPT_003,Researcher,OnSite,2024-01-03 02:40:06,read,114,DVC_044,PTN_14319,0,0,DPT_003
