ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment
204062,USR_009,DPT_005,Doctor,OnSite,2024-01-02 11:57:10,read,290,DVC_168,PTN_03263,0,1,DPT_005
129975,USR_009,DPT_009,Doctor,OnSite,2024-01-03 11:30:42,read,127,DVC_186,PTN_19004,0,0,DPT_009
229065,USR_009,DPT_002,Doctor,OnSite,2024-01-01 11:35:13,read,133,DVC_068,PTN_19792,0,0,DPT_002
155921,USR_009,DPT_010,Doctor,OnSite,2024-01-02 13:45:58,modify,250,DVC_195,PTN_14534,0,0,DPT_010
281347,USR_009,DPT_007,Doctor,OnSite,2024-01-03 13:16:16,read,178,DVC_085,PTN_15005,0,0,DPT_007
173273,USR_027,DPT_006,Doctor,OnSite,2024-01-03 02:30:08,read,210,DVC_128,PTN_06195,0,0,DPT_006
76040,USR_027,DPT_001,Doctor,OnSite,2024-01-03 00:23:23,read,193,DVC_176,PTN_08272,0,0,DPT_001
214222,USR_027,DPT_003,Doctor,OnSite,2024-01-01 02:54:31,read,135,DVC_199,PTN_01832,0,0,DPT_003
408103,USR_027,DPT_006,Doctor,OnSite,2024-01-01 01:01:56,read,244,DVC_021,PTN_00728,0,0,DPT_006
278893,USR_027,DPT_005,Doctor,OnSite,2024-01-03 05:07:33,read,214,DVC_129,PTN_13394,0,1,DPT_005
293507,USR_191,DPT_5,Researcher,OnSite,2024-01-02 06:29:04,modify,141,DVC_006,PTN_17726,0,0,DPT_007
171949,USR_191,DPT_004,Researcher,OnSite,2024-01-03 02:33:52,write,295,DVC_067,PTN_01726,0,1,DPT_004
400997,USR_191,DPT_5,Researcher,OnSite,2024-01-01 02:43:31,read,207,DVC_036,PTN_10760,0,0,DPT_003
464986,USR_191,DPT_006,Researcher,OnSite,2024-01-03 06:40:15,modify,238,DVC_030,PTN_19059,0,0,DPT_006
53165,USR_191,DPT_007,Researcher,OnSite,2024-01-02 02:13:10,write,269,DVC_116,PTN_03074,0,0,DPT_007
