ID;UserID;Department;UserRole;Connection;Timestamp;AccessLevel;AccessDuration;DeviceID;PatientID;IsAccessFail;IsSensitive;VisitDepartment
73758;USR402;DEP005;Hemsire;DirectAccess;1-01-2024 12:22;Guncelleme;3233;DVC0059;PTN01902;0;0;DEP005
68152;USR460;DEP014;Yonetici;DirectAccess;2-01-2024 00:38;Okuma;9910;DVC0189;PTN06503;0;0;DEP014
58025;USR144;DEP006;Hemsire;VPN;1-01-2024 02:02;Yazma;3477;DVC0039;PTN00193;0;0;DEP006
99097;USR227;DEP017;Hemsire;InHospital;2-01-2024 19:38;Okuma;7498;DVC0146;PTN05482;0;0;DEP017
52696;USR166;DEP012;Sekreter;InHospital;1-01-2024 11:33;Yazma;8316;DVC0034;PTN06691;0;0;DEP012
57130;USR434;DEP001;Yonetici;DirectAccess;2-01-2024 05:35;Guncelleme;1534;DVC0177;PTN01669;0;1;DEP001
72614;USR033;DEP011;Teknisyen;VPN;2-01-2024 01:57;Yazma;9720;DVC0161;PTN05057;0;0;DEP011
1744;USR342;DEP007;Hemsire;VPN;1-01-2024 09:07;Okuma;4922;DVC0197;PTN00673;0;0;DEP007
29441;USR253;DEP013;Yonetici;DirectAccess;1-01-2024 19:57;Okuma;7536;DVC0146;PTN08817;0;1;DEP013
8745;USR270;DEP004;Yonetici;DirectAccess;1-01-2024 10:34;Okuma;1841;DVC0078;PTN02933;0;0;DEP004
42114;USR380;DEP006;Teknisyen;VPN;1-01-2024 15:00;Guncelleme;3196;DVC0081;PTN08241;0;0;DEP009
57247;USR142;DEP012;Teknisyen;DirectAccess;2-01-2024 03:32;Yazma;6243;DVC0139;PTN08124;0;0;DEP012
61967;USR437;DEP018;Teknisyen;VPN;2-01-2024 00:26;Okuma;618;DVC0166;PTN09754;0;0;DEP018
16295;USR376;DEP003;Hemsire;InHospital;2-01-2024 15:49;Guncelleme;6013;DVC0088;PTN08395;0;0;DEP003
49323;USR424;DEP005;Doktor;InHospital;1-01-2024 08:37;Guncelleme;4330;DVC0151;PTN08200;0;0;DEP005
24538;USR443;DEP010;Yonetici;VPN;1-01-2024 12:30;Yazma;9422;DVC0165;PTN08643;0;0;DEP010
24888;USR358;DEP005;Teknisyen;VPN;1-01-2024 16:49;Okuma;5072;DVC0141;PTN05162;0;0;DEP005
35508;USR271;DEP020;Teknisyen;VPN;1-01-2024 18:15;Yazma;6069;DVC0155;PTN05110;0;0;DEP020
8676;USR447;DEP001;Teknisyen;VPN;2-01-2024 01:59;Guncelleme;1091;DVC0099;PTN02055;0;0;DEP001
28860;USR158;DEP013;Hemsire;VPN;1-01-2024 09:34;Guncelleme;964;DVC0128;PTN07114;0;0;DEP013
9306;USR027;DEP017;Doktor;InHospital;1-01-2024 23:39;Guncelleme;1988;DVC0037;PTN07991;0;1;DEP017
63791;USR084;DEP001;Sekreter;VPN;1-01-2024 12:20;Guncelleme;8998;DVC0100;PTN04196;0;0;DEP001
2363;USR457;DEP010;Yonetici;VPN;1-01-2024 21:37;Guncelleme;3057;DVC0022;PTN08444;0;0;DEP010
34824;USR313;DEP002;Sekreter;DirectAccess;1-01-2024 22:43;Yazma;9395;DVC0023;PTN00142;0;0;DEP002
92786;USR496;DEP004;Hemsire;VPN;2-01-2024 22:27;Okuma;3449;DVC0030;PTN09104;0;0;DEP004
42014;USR451;DEP010;Yonetici;VPN;1-01-2024 09:08;Okuma;4643;DVC0035;PTN06238;0;0;DEP010
55392;USR238;DEP006;Yonetici;VPN;1-01-2024 13:26;Guncelleme;8935;DVC0036;PTN08120;0;1;DEP006
86119;USR137;DEP017;Hemsire;VPN;1-01-2024 13:52;Guncelleme;4476;DVC0180;PTN00267;0;0;DEP017
46561;USR283;DEP011;Teknisyen;InHospital;1-01-2024 04:05;Okuma;746;DVC0062;PTN09761;0;0;DEP011
51118;USR149;DEP017;Teknisyen;VPN;1-01-2024 10:49;Okuma;5734;DVC0100;PTN07525;0;0;DEP017
92331;USR333;DEP020;Sekreter;InHospital;2-01-2024 00:40;Okuma;7129;DVC0159;PTN00040;0;0;DEP020
93210;USR193;DEP011;Doktor;InHospital;1-01-2024 21:12;Guncelleme;5218;DVC0074;PTN04644;0;0;DEP011
16666;USR329;DEP007;Teknisyen;DirectAccess;1-01-2024 00:00;Guncelleme;9998;DVC0123;PTN03413;0;0;DEP007
19628;USR202;DEP009;Teknisyen;InHospital;1-01-2024 12:43;Okuma;9768;DVC0001;PTN06353;0;0;DEP009
30920;USR129;DEP015;Hemsire;InHospital;1-01-2024 12:45;Yazma;7974;DVC0024;PTN02316;0;0;DEP015
82397;USR056;DEP001;Doktor;DirectAccess;2-01-2024 05:50;Okuma;9848;DVC0026;PTN01737;0;0;DEP001
29700;USR092;DEP017;Hemsire;VPN;1-01-2024 15:39;Okuma;6334;DVC0049;PTN00893;0;0;DEP017
92873;USR094;DEP018;Sekreter;DirectAccess;1-01-2024 08:22;Okuma;7430;DVC0159;PTN09325;0;0;DEP018
85189;USR080;DEP007;Hemsire;DirectAccess;1-01-2024 03:44;Guncelleme;8390;DVC0038;PTN08672;0;0;DEP007
